generation	population_size	num_mutations	nucleotide_diversity	theta_watterson	beneficial_freq
485	10000	2	5e-06	0.000204	0.0
486	10000	2	5e-06	0.000204	0.0
487	10000	2	7e-06	0.000204	0.0
488	10000	1	6e-06	0.000102	0.0
489	10000	1	7e-06	0.000102	0.0
490	10000	1	5e-06	0.000102	0.0
491	10000	1	6e-06	0.000102	0.0
492	10000	1	4e-06	0.000102	0.0
493	10000	2	3e-06	0.000204	0.0
494	10000	2	2e-06	0.000204	0.0
495	10000	1	1e-06	0.000102	0.0
496	10000	1	1e-06	0.000102	0.0
497	10000	1	1e-06	0.000102	0.0
498	10000	1	1e-06	0.000102	0.0
499	10000	1	0.0	0.000102	0.0
500	10000	0	0.0	0.0	0.0
501	10000	0	0.0	0.0	0.0
502	10000	1	0.0	0.000102	0.0
503	10000	1	0.0	0.000102	0.0
504	10000	1	0.0	0.000102	0.0
505	10000	1	0.0	0.000102	0.0
506	10000	1	0.0	0.000102	0.0
507	10000	1	0.0	0.000102	0.0
508	10000	1	0.0	0.000102	0.0
509	10000	0	0.0	0.0	0.0
510	10000	0	0.0	0.0	0.0
511	10000	0	0.0	0.0	0.0
512	10000	0	0.0	0.0	0.0
513	10000	0	0.0	0.0	0.0
514	10000	0	0.0	0.0	0.0
515	10000	0	0.0	0.0	0.0
516	10000	0	0.0	0.0	0.0
517	10000	0	0.0	0.0	0.0
518	10000	0	0.0	0.0	0.0
519	10000	0	0.0	0.0	0.0
520	10000	0	0.0	0.0	0.0
521	10000	0	0.0	0.0	0.0
522	10000	0	0.0	0.0	0.0
523	10000	0	0.0	0.0	0.0
524	10000	0	0.0	0.0	0.0
525	10000	0	0.0	0.0	0.0
526	10000	0	0.0	0.0	0.0
527	10000	0	0.0	0.0	0.0
528	10000	0	0.0	0.0	0.0
529	10000	0	0.0	0.0	0.0
530	10000	0	0.0	0.0	0.0
531	10000	0	0.0	0.0	0.0
532	10000	0	0.0	0.0	0.0
533	10000	0	0.0	0.0	0.0
534	10000	0	0.0	0.0	0.0
535	10000	0	0.0	0.0	0.0
536	10000	0	0.0	0.0	0.0
537	10000	0	0.0	0.0	0.0
538	10000	0	0.0	0.0	0.0
539	10000	0	0.0	0.0	0.0
540	10000	3	1e-06	0.000307	0.0
541	10000	2	1e-06	0.000204	0.0
542	10000	2	1e-06	0.000204	0.0
543	10000	2	1e-06	0.000204	0.0
544	10000	2	1e-06	0.000204	0.0
545	10000	3	1e-06	0.000307	0.0
546	10000	2	0.0	0.000204	0.0
547	10000	1	1e-06	0.000102	0.0
548	10000	1	0.0	0.000102	0.0
549	10000	1	0.0	0.000102	0.0
550	10000	1	0.0	0.000102	0.0
551	10000	2	1e-06	0.000204	0.0
552	10000	2	0.0	0.000204	0.0
553	10000	1	0.0	0.000102	0.0
554	10000	0	0.0	0.0	0.0
555	10000	0	0.0	0.0	0.0
556	10000	0	0.0	0.0	0.0
557	10000	0	0.0	0.0	0.0
558	10000	0	0.0	0.0	0.0
559	10000	0	0.0	0.0	0.0
560	10000	0	0.0	0.0	0.0
561	10000	0	0.0	0.0	0.0
562	10000	0	0.0	0.0	0.0
563	10000	0	0.0	0.0	0.0
564	10000	0	0.0	0.0	0.0
565	10000	0	0.0	0.0	0.0
566	10000	0	0.0	0.0	0.0
567	10000	1	0.0	0.000102	0.0
568	10000	1	0.0	0.000102	0.0
569	10000	1	0.0	0.000102	0.0
570	10000	1	0.0	0.000102	0.0
571	10000	1	1e-06	0.000102	0.0
572	10000	1	0.0	0.000102	0.0
573	10000	1	0.0	0.000102	0.0
574	10000	1	0.0	0.000102	0.0
575	10000	1	0.0	0.000102	0.0
576	10000	0	0.0	0.0	0.0
577	10000	0	0.0	0.0	0.0
578	10000	0	0.0	0.0	0.0
579	10000	0	0.0	0.0	0.0
580	10000	1	0.0	0.000102	0.0
581	10000	1	0.0	0.000102	0.0
582	10000	0	0.0	0.0	0.0
583	10000	0	0.0	0.0	0.0
584	10000	0	0.0	0.0	0.0
585	10000	0	0.0	0.0	0.0
586	10000	0	0.0	0.0	0.0
587	10000	0	0.0	0.0	0.0
588	10000	0	0.0	0.0	0.0
589	10000	0	0.0	0.0	0.0
590	10000	0	0.0	0.0	0.0
591	10000	0	0.0	0.0	0.0
592	10000	0	0.0	0.0	0.0
593	10000	0	0.0	0.0	0.0
594	10000	0	0.0	0.0	0.0
595	10000	0	0.0	0.0	0.0
596	10000	0	0.0	0.0	0.0
597	10000	0	0.0	0.0	0.0
598	10000	0	0.0	0.0	0.0
599	10000	0	0.0	0.0	0.0
600	10000	0	0.0	0.0	0.0
601	10000	1	0.0	0.000102	0.0
602	10000	0	0.0	0.0	0.0
603	10000	0	0.0	0.0	0.0
604	10000	0	0.0	0.0	0.0
605	10000	0	0.0	0.0	0.0
606	10000	0	0.0	0.0	0.0
607	10000	0	0.0	0.0	0.0
608	10000	0	0.0	0.0	0.0
609	10000	0	0.0	0.0	0.0
610	10000	0	0.0	0.0	0.0
611	10000	0	0.0	0.0	0.0
612	10000	0	0.0	0.0	0.0
613	10000	0	0.0	0.0	0.0
614	10000	0	0.0	0.0	0.0
615	10000	0	0.0	0.0	0.0
616	10000	0	0.0	0.0	0.0
617	10000	0	0.0	0.0	0.0
618	10000	0	0.0	0.0	0.0
619	10000	0	0.0	0.0	0.0
620	10000	0	0.0	0.0	0.0
621	10000	0	0.0	0.0	0.0
622	10000	0	0.0	0.0	0.0
623	10000	0	0.0	0.0	0.0
624	10000	0	0.0	0.0	0.0
625	10000	0	0.0	0.0	0.0
626	10000	0	0.0	0.0	0.0
627	10000	0	0.0	0.0	0.0
628	10000	0	0.0	0.0	0.0
629	10000	0	0.0	0.0	0.0
630	10000	0	0.0	0.0	0.0
631	10000	0	0.0	0.0	0.0
632	10000	0	0.0	0.0	0.0
633	10000	0	0.0	0.0	0.0
634	10000	0	0.0	0.0	0.0
635	10000	0	0.0	0.0	0.0
636	10000	1	0.0	0.000102	0.0
637	10000	0	0.0	0.0	0.0
638	10000	0	0.0	0.0	0.0
